freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm
1.0003201E+03	2.8997049E-02	5.5948616E-04
7.9423767E+02	2.9556155E-02	1.5269323E-03
6.3100952E+02	3.0161243E-02	2.3710772E-03
5.0144406E+02	3.0843906E-02	3.1139774E-03
3.9808911E+02	3.1606145E-02	3.7411659E-03
3.1631577E+02	3.2440305E-02	4.2906534E-03
2.5104428E+02	3.3337176E-02	4.7486504E-03
1.9955299E+02	3.4283947E-02	5.1063444E-03
1.5842838E+02	3.5274398E-02	5.3750165E-03
1.2584568E+02	3.6293831E-02	5.5237236E-03
1.0003201E+02	3.7333857E-02	5.5855163E-03
1.0003201E+02	3.7311804E-02	5.5799289E-03
7.9415459E+01	3.8357351E-02	5.5568349E-03
6.3160748E+01	3.9378326E-02	5.3954641E-03
5.0144405E+01	4.0293068E-02	5.1692184E-03
3.9808910E+01	4.1175742E-02	4.8693470E-03
3.1629551E+01	4.1946840E-02	4.4922391E-03
2.5104427E+01	4.2623933E-02	4.0665027E-03
1.9955299E+01	4.3226860E-02	3.6617178E-03
1.5857575E+01	4.3673862E-02	3.2501249E-03
1.2600808E+01	4.4129793E-02	2.8530769E-03
1.0003201E+01	4.4474646E-02	2.4759884E-03
7.9395342E+00	4.4709198E-02	2.2085083E-03
6.3105812E+00	4.4931270E-02	1.9071788E-03
5.0144405E+00	4.5136414E-02	1.7050985E-03
3.9778507E+00	4.5279145E-02	1.4918152E-03
3.1603959E+00	4.5409333E-02	1.3372386E-03
2.5136740E+00	4.5553986E-02	1.2181140E-03
1.9970596E+00	4.5639027E-02	1.1259876E-03
1.5840428E+00	4.5754820E-02	1.0514098E-03
1.2596743E+00	4.5839258E-02	1.0241620E-03
1.0000637E+00	4.5921262E-02	1.0058194E-03
1.0000637E+00	4.5935284E-02	1.0310191E-03
7.9395342E-01	4.6004884E-02	1.0343783E-03
6.3054878E-01	4.6131600E-02	1.0571093E-03
5.0144410E-01	4.6218019E-02	1.0860848E-03
3.9794719E-01	4.6331942E-02	1.1613575E-03
3.1603956E-01	4.6434119E-02	1.2400977E-03
2.5133505E-01	4.6576306E-02	1.3429445E-03
1.9946128E-01	4.6724785E-02	1.4776806E-03
1.5850709E-01	4.6857107E-02	1.6350242E-03
1.2588213E-01	4.7051981E-02	1.8315767E-03
9.9927090E-02	4.7224924E-02	2.0567235E-03
7.9450242E-02	4.7439605E-02	2.3095366E-03
6.3097648E-02	4.7701605E-02	2.6430420E-03
5.0087824E-02	4.7914460E-02	2.9959071E-03
3.9859682E-02	4.8211049E-02	3.4276017E-03
3.1627495E-02	4.8557233E-02	3.9385222E-03
2.5106369E-02	4.8943467E-02	4.5161466E-03
1.9970601E-02	4.9436491E-02	5.2246288E-03
1.5853286E-02	5.0004449E-02	6.0104965E-03
1.2600807E-02	5.0663825E-02	6.9477013E-03
1.0005763E-02	5.1496465E-02	7.9409881E-03
1.0005763E-02	5.1812019E-02	8.0516664E-03
6.3126208E-03	5.4531600E-02	1.0340036E-02
3.9810939E-03	5.7417206E-02	1.3130776E-02
2.5123812E-03	6.0901225E-02	1.6135303E-02
1.5845632E-03	6.4685673E-02	1.9920906E-02
9.9990238E-04	6.8723179E-02	2.5127791E-02
6.3089118E-04	7.2985463E-02	3.2728598E-02
3.9812503E-04	7.7483386E-02	4.4045605E-02
2.5116024E-04	8.2460418E-02	6.0948335E-02
1.5848293E-04	8.8162340E-02	8.6483479E-02
1.0000099E-04	9.5414370E-02	1.2609957E-01
